#first line - comment, second - resolution n, m, third - wavelengths, fourth and further - point coordinates i, j and spectraIntegration time us: 500000Step - 6
56 100
0 99 13:18:58.558322
1 0 13:18:59.894062
1 1 13:19:00.414891
1 2 13:19:00.935119
1 3 13:19:01.455201
1 4 13:19:01.961890
1 5 13:19:02.470574
1 6 13:19:02.978262
1 7 13:19:03.484949
1 8 13:19:03.991637
1 9 13:19:04.498325
1 10 13:19:05.005013
1 11 13:19:05.515699
1 12 13:19:06.022386
1 13 13:19:06.529072
1 14 13:19:07.036759
1 15 13:19:07.543447
1 16 13:19:08.052135
1 17 13:19:08.558821
1 18 13:19:09.065508
1 19 13:19:09.572196
1 20 13:19:10.078883
1 21 13:19:10.585571
1 22 13:19:11.092259
1 23 13:19:11.599945
1 24 13:19:12.110630
1 25 13:19:12.617317
1 26 13:19:13.124005
1 27 13:19:13.630694
1 28 13:19:14.137381
1 29 13:19:14.644067
1 30 13:19:15.150755
1 31 13:19:15.657442
1 32 13:19:16.164131
1 33 13:19:16.670817
1 34 13:19:17.179504
1 35 13:19:17.686192
1 36 13:19:18.192879
1 37 13:19:18.699566
1 38 13:19:19.206252
1 39 13:19:19.714940
1 40 13:19:20.221628
1 41 13:19:20.728315
1 42 13:19:21.235003
1 43 13:19:21.741690
1 44 13:19:22.249377
1 45 13:19:22.756064
1 46 13:19:23.262752
1 47 13:19:23.769441
1 48 13:19:24.276128
1 49 13:19:24.782814
1 50 13:19:25.290501
1 51 13:19:25.797189
1 52 13:19:26.303877
1 53 13:19:26.810564
1 54 13:19:27.317251
1 55 13:19:27.825938
1 56 13:19:28.336622
1 57 13:19:28.843311
1 58 13:19:29.349997
1 59 13:19:29.856686
1 60 13:19:30.363373
1 61 13:19:30.870060
1 62 13:19:31.376746
1 63 13:19:31.886433
1 64 13:19:32.393121
1 65 13:19:32.900808
1 66 13:19:33.410493
1 67 13:19:33.917182
1 68 13:19:34.423869
1 69 13:19:34.930556
1 70 13:19:35.439242
1 71 13:19:35.947928
1 72 13:19:36.454616
1 73 13:19:36.961303
1 74 13:19:37.467991
1 75 13:19:37.974678
1 76 13:19:38.481367
1 77 13:19:38.988053
1 78 13:19:39.494741
1 79 13:19:40.005426
1 80 13:19:40.514112
1 81 13:19:41.020798
1 82 13:19:41.530486
1 83 13:19:42.038173
1 84 13:19:42.546860
1 85 13:19:43.053545
1 86 13:19:43.560234
1 87 13:19:44.070919
1 88 13:19:44.579606
1 89 13:19:45.086294
1 90 13:19:45.595978
1 91 13:19:46.102667
1 92 13:19:46.609353
1 93 13:19:47.116042
1 94 13:19:47.622728
1 95 13:19:48.129416
1 96 13:19:48.636103
1 97 13:19:49.142790
1 98 13:19:49.649477
1 99 13:19:50.157166
2 0 13:19:51.504615
2 1 13:19:52.023156
2 2 13:19:52.542424
2 3 13:19:53.051296
2 4 13:19:53.571844
2 5 13:19:54.091871
2 6 13:19:54.610414
2 7 13:19:55.128088
2 8 13:19:55.636075
2 9 13:19:56.156037
2 10 13:19:56.675509
2 11 13:19:57.195538
2 12 13:19:57.715391
2 13 13:19:58.235802
2 14 13:19:58.755918
2 15 13:19:59.274937
2 16 13:19:59.788785
2 17 13:20:00.308553
2 18 13:20:00.814578
2 19 13:20:01.321266
2 20 13:20:01.831949
2 21 13:20:02.339735
2 22 13:20:02.857661
2 23 13:20:03.379427
2 24 13:20:03.898775
2 25 13:20:04.418266
2 26 13:20:04.938207
2 27 13:20:05.457601
2 28 13:20:05.977856
2 29 13:20:06.496052
2 30 13:20:07.015530
2 31 13:20:07.536250
2 32 13:20:08.055721
2 33 13:20:08.579664
2 34 13:20:09.098767
2 35 13:20:09.609017
2 36 13:20:10.129886
2 37 13:20:10.646417
2 38 13:20:11.165551
2 39 13:20:11.684954
2 40 13:20:12.205198
2 41 13:20:12.724258
2 42 13:20:13.242721
2 43 13:20:13.761011
2 44 13:20:14.281285
2 45 13:20:14.801280
2 46 13:20:15.320259
2 47 13:20:15.840030
2 48 13:20:16.348104
2 49 13:20:16.867795
2 50 13:20:17.383694
2 51 13:20:17.903328
2 52 13:20:18.424625
2 53 13:20:18.944145
2 54 13:20:19.463267
2 55 13:20:19.982920
2 56 13:20:20.501794
2 57 13:20:21.021176
2 58 13:20:21.539439
2 59 13:20:22.060155
2 60 13:20:22.580540
2 61 13:20:23.100187
2 62 13:20:23.622893
2 63 13:20:24.130077
2 64 13:20:24.650908
2 65 13:20:25.165003
2 66 13:20:25.684566
2 67 13:20:26.203211
2 68 13:20:26.721438
2 69 13:20:27.239698
2 70 13:20:27.759232
2 71 13:20:28.278295
2 72 13:20:28.797388
2 73 13:20:29.317930
2 74 13:20:29.837055
2 75 13:20:30.356211
2 76 13:20:30.876806
2 77 13:20:31.395197
2 78 13:20:31.907821
2 79 13:20:32.427981
2 80 13:20:32.940278
2 81 13:20:33.460037
2 82 13:20:33.979256
2 83 13:20:34.499189
2 84 13:20:35.018620
2 85 13:20:35.538353
2 86 13:20:36.057285
2 87 13:20:36.576421
2 88 13:20:37.094925
2 89 13:20:37.614075
2 90 13:20:38.134018
2 91 13:20:38.653728
2 92 13:20:39.172292
2 93 13:20:39.678829
2 94 13:20:40.197736
2 95 13:20:40.719464
2 96 13:20:41.237869
2 97 13:20:41.756488
2 98 13:20:42.276860
2 99 13:20:42.797319
3 0 13:20:44.128916
3 1 13:20:44.650878
3 2 13:20:45.168883
3 3 13:20:45.688966
3 4 13:20:46.208127
3 5 13:20:46.728376
3 6 13:20:47.248005
3 7 13:20:47.767349
3 8 13:20:48.288287
3 9 13:20:48.807339
3 10 13:20:49.326516
3 11 13:20:49.846833
3 12 13:20:50.366630
3 13 13:20:50.877078
3 14 13:20:51.397099
3 15 13:20:51.909079
3 16 13:20:52.428507
3 17 13:20:52.947229
3 18 13:20:53.466537
3 19 13:20:53.985828
3 20 13:20:54.506223
3 21 13:20:55.025397
3 22 13:20:55.544817
3 23 13:20:56.065387
3 24 13:20:56.585709
3 25 13:20:57.104151
3 26 13:20:57.624252
3 27 13:20:58.143470
3 28 13:20:58.650967
3 29 13:20:59.171025
3 30 13:20:59.685498
3 31 13:21:00.204007
3 32 13:21:00.725147
3 33 13:21:01.232321
3 34 13:21:01.740009
3 35 13:21:02.246696
3 36 13:21:02.753385
3 37 13:21:03.260071
3 38 13:21:03.766759
3 39 13:21:04.273446
3 40 13:21:04.780134
3 41 13:21:05.290818
3 42 13:21:05.797506
3 43 13:21:06.306193
3 44 13:21:06.813881
3 45 13:21:07.320567
3 46 13:21:07.827255
3 47 13:21:08.335941
3 48 13:21:08.842628
3 49 13:21:09.349315
3 50 13:21:09.856004
3 51 13:21:10.364688
3 52 13:21:10.872378
3 53 13:21:11.379064
3 54 13:21:11.885752
3 55 13:21:12.392439
3 56 13:21:12.903124
3 57 13:21:13.409809
3 58 13:21:13.919495
3 59 13:21:14.429182
3 60 13:21:14.936869
3 61 13:21:15.443557
3 62 13:21:15.954243
3 63 13:21:16.460929
3 64 13:21:16.967617
3 65 13:21:17.474305
3 66 13:21:17.984988
3 67 13:21:18.494674
3 68 13:21:19.001364
3 69 13:21:19.509049
3 70 13:21:20.015737
3 71 13:21:20.522425
3 72 13:21:21.029112
3 73 13:21:21.535800
3 74 13:21:22.046486
3 75 13:21:22.553174
3 76 13:21:23.062858
3 77 13:21:23.570546
3 78 13:21:24.077232
3 79 13:21:24.583920
3 80 13:21:25.090605
3 81 13:21:25.600293
3 82 13:21:26.106982
3 83 13:21:26.614668
3 84 13:21:27.123354
3 85 13:21:27.630041
3 86 13:21:28.136729
3 87 13:21:28.643417
3 88 13:21:29.150104
3 89 13:21:29.656791
3 90 13:21:30.164480
3 91 13:21:30.671165
3 92 13:21:31.177853
3 93 13:21:31.684541
3 94 13:21:32.191228
3 95 13:21:32.697916
3 96 13:21:33.204602
3 97 13:21:33.711292
3 98 13:21:34.217990
3 99 13:21:34.725666
4 0 13:21:36.050848
4 1 13:21:36.558535
4 2 13:21:37.065220
4 3 13:21:37.574908
4 4 13:21:38.081596
4 5 13:21:38.590283
4 6 13:21:39.096969
4 7 13:21:39.605654
4 8 13:21:40.115341
4 9 13:21:40.626026
4 10 13:21:41.133714
4 11 13:21:41.640400
4 12 13:21:42.147088
4 13 13:21:42.656772
4 14 13:21:43.164460
4 15 13:21:43.671149
4 16 13:21:44.177835
4 17 13:21:44.684523
4 18 13:21:45.191211
4 19 13:21:45.697899
4 20 13:21:46.204585
4 21 13:21:46.715271
4 22 13:21:47.222957
4 23 13:21:47.729645
4 24 13:21:48.237332
4 25 13:21:48.744019
4 26 13:21:49.250708
4 27 13:21:49.758393
4 28 13:21:50.265081
4 29 13:21:50.771769
4 30 13:21:51.278020
4 31 13:21:51.795398
4 32 13:21:52.314686
4 33 13:21:52.824053
4 34 13:21:53.344386
4 35 13:21:53.854380
4 36 13:21:54.361067
4 37 13:21:54.867286
4 38 13:21:55.386585
4 39 13:21:55.895657
4 40 13:21:56.414103
4 41 13:21:56.921469
4 42 13:21:57.441928
4 43 13:21:57.961050
4 44 13:21:58.479480
4 45 13:21:58.998746
4 46 13:21:59.506783
4 47 13:22:00.027040
4 48 13:22:00.536960
4 49 13:22:01.057067
4 50 13:22:01.565753
4 51 13:22:02.074440
4 52 13:22:02.581447
4 53 13:22:03.100704
4 54 13:22:03.620558
4 55 13:22:04.139778
4 56 13:22:04.660398
4 57 13:22:05.166458
4 58 13:22:05.686370
4 59 13:22:06.205420
4 60 13:22:06.724918
4 61 13:22:07.243808
4 62 13:22:07.763110
4 63 13:22:08.271230
4 64 13:22:08.790868
4 65 13:22:09.303800
4 66 13:22:09.824665
4 67 13:22:10.344818
4 68 13:22:10.864162
4 69 13:22:11.383584
4 70 13:22:11.904113
4 71 13:22:12.423753
4 72 13:22:12.942588
4 73 13:22:13.462395
4 74 13:22:13.984398
4 75 13:22:14.504610
4 76 13:22:15.016396
4 77 13:22:15.537047
4 78 13:22:16.061431
4 79 13:22:16.580685
4 80 13:22:17.100814
4 81 13:22:17.620677
4 82 13:22:18.140624
4 83 13:22:18.660189
4 84 13:22:19.179635
4 85 13:22:19.697753
4 86 13:22:20.217602
4 87 13:22:20.736840
4 88 13:22:21.255153
4 89 13:22:21.761388
4 90 13:22:22.281246
4 91 13:22:22.792937
4 92 13:22:23.311335
4 93 13:22:23.831532
4 94 13:22:24.351663
4 95 13:22:24.871886
4 96 13:22:25.392769
4 97 13:22:25.912733
4 98 13:22:26.432192
4 99 13:22:26.952065
5 0 13:22:28.285653
5 1 13:22:28.806849
5 2 13:22:29.325559
5 3 13:22:29.845729
5 4 13:22:30.365059
5 5 13:22:30.884484
5 6 13:22:31.404750
5 7 13:22:31.924749
5 8 13:22:32.445886
5 9 13:22:32.953762
5 10 13:22:33.474264
5 11 13:22:33.996290
5 12 13:22:34.519371
5 13 13:22:35.039375
5 14 13:22:35.545738
5 15 13:22:36.065636
5 16 13:22:36.586577
5 17 13:22:37.104511
5 18 13:22:37.624085
5 19 13:22:38.144019
5 20 13:22:38.650700
5 21 13:22:39.170306
5 22 13:22:39.692268
5 23 13:22:40.214735
5 24 13:22:40.734513
5 25 13:22:41.253569
5 26 13:22:41.772544
5 27 13:22:42.292094
5 28 13:22:42.811607
5 29 13:22:43.331237
5 30 13:22:43.850136
5 31 13:22:44.368492
5 32 13:22:44.887635
5 33 13:22:45.400607
5 34 13:22:45.920459
5 35 13:22:46.429146
5 36 13:22:46.936026
5 37 13:22:47.456444
5 38 13:22:47.974767
5 39 13:22:48.494527
5 40 13:22:49.012788
5 41 13:22:49.532617
5 42 13:22:50.051028
5 43 13:22:50.571110
5 44 13:22:51.091021
5 45 13:22:51.611067
5 46 13:22:52.121165
5 47 13:22:52.641500
5 48 13:22:53.163108
5 49 13:22:53.682348
5 50 13:22:54.202157
5 51 13:22:54.721642
5 52 13:22:55.242581
5 53 13:22:55.762425
5 54 13:22:56.281995
5 55 13:22:56.800844
5 56 13:22:57.321147
5 57 13:22:57.840059
5 58 13:22:58.358638
5 59 13:22:58.867843
5 60 13:22:59.387943
5 61 13:22:59.902087
5 62 13:23:00.422196
5 63 13:23:00.943503
5 64 13:23:01.454364
5 65 13:23:01.961052
5 66 13:23:02.467739
5 67 13:23:02.974427
5 68 13:23:03.481114
5 69 13:23:03.988801
5 70 13:23:04.495488
5 71 13:23:05.005174
5 72 13:23:05.511862
5 73 13:23:06.018550
5 74 13:23:06.525236
5 75 13:23:07.035922
5 76 13:23:07.542609
5 77 13:23:08.049298
5 78 13:23:08.556984
5 79 13:23:09.063673
5 80 13:23:09.570360
5 81 13:23:10.077045
5 82 13:23:10.586733
5 83 13:23:11.093419
5 84 13:23:11.600107
5 85 13:23:12.106794
5 86 13:23:12.613483
5 87 13:23:13.120170
5 88 13:23:13.626857
5 89 13:23:14.133544
5 90 13:23:14.640232
5 91 13:23:15.146919
5 92 13:23:15.653608
5 93 13:23:16.160293
5 94 13:23:16.669980
5 95 13:23:17.178667
5 96 13:23:17.688353
5 97 13:23:18.195039
5 98 13:23:18.701725
5 99 13:23:19.211413
6 0 13:23:20.613549
6 1 13:23:21.125232
6 2 13:23:21.634919
6 3 13:23:22.141607
6 4 13:23:22.651293
6 5 13:23:23.157980
6 6 13:23:23.664666
6 7 13:23:24.171354
6 8 13:23:24.681040
6 9 13:23:25.189726
6 10 13:23:25.696414
6 11 13:23:26.203102
6 12 13:23:26.709789
6 13 13:23:27.218476
6 14 13:23:27.725164
6 15 13:23:28.231850
6 16 13:23:28.738538
6 17 13:23:29.245226
6 18 13:23:29.751912
6 19 13:23:30.258597
6 20 13:23:30.765287
6 21 13:23:31.271976
6 22 13:23:31.778662
6 23 13:23:32.285350
6 24 13:23:32.795035
6 25 13:23:33.301723
6 26 13:23:33.808412
6 27 13:23:34.315098
6 28 13:23:34.823784
6 29 13:23:35.330471
6 30 13:23:35.837159
6 31 13:23:36.347842
6 32 13:23:36.857530
6 33 13:23:37.364217
6 34 13:23:37.872903
6 35 13:23:38.379592
6 36 13:23:38.886277
6 37 13:23:39.395965
6 38 13:23:39.904651
6 39 13:23:40.411336
6 40 13:23:40.920022
6 41 13:23:41.428710
6 42 13:23:41.935399
6 43 13:23:42.442084
6 44 13:23:42.951771
6 45 13:23:43.458460
6 46 13:23:43.965146
6 47 13:23:44.471832
6 48 13:23:44.981519
6 49 13:23:45.491205
6 50 13:23:45.997893
6 51 13:23:46.508575
6 52 13:23:47.019264
6 53 13:23:47.526949
6 54 13:23:48.033637
6 55 13:23:48.540325
6 56 13:23:49.047010
6 57 13:23:49.557697
6 58 13:23:50.064383
6 59 13:23:50.572071
6 60 13:23:51.080283
6 61 13:23:51.600450
6 62 13:23:52.119752
6 63 13:23:52.643035
6 64 13:23:53.153183
6 65 13:23:53.673261
6 66 13:23:54.191438
6 67 13:23:54.699886
6 68 13:23:55.206854
6 69 13:23:55.727347
6 70 13:23:56.246783
6 71 13:23:56.766676
6 72 13:23:57.286926
6 73 13:23:57.806511
6 74 13:23:58.326643
6 75 13:23:58.845842
6 76 13:23:59.363917
6 77 13:23:59.882494
6 78 13:24:00.400883
6 79 13:24:00.920258
6 80 13:24:01.429942
6 81 13:24:01.936631
6 82 13:24:02.445329
6 83 13:24:02.967280
6 84 13:24:03.485880
6 85 13:24:04.005026
6 86 13:24:04.525149
6 87 13:24:05.043964
6 88 13:24:05.562282
6 89 13:24:06.081571
6 90 13:24:06.600664
6 91 13:24:07.119269
6 92 13:24:07.639713
6 93 13:24:08.159913
6 94 13:24:08.679324
6 95 13:24:09.203785
6 96 13:24:09.716479
6 97 13:24:10.236404
6 98 13:24:10.748511
6 99 13:24:11.268487
7 0 13:24:12.613166
7 1 13:24:13.133587
7 2 13:24:13.652760
7 3 13:24:14.163191
7 4 13:24:14.683093
7 5 13:24:15.195558
7 6 13:24:15.715389
7 7 13:24:16.235778
7 8 13:24:16.755920
7 9 13:24:17.275437
7 10 13:24:17.794619
7 11 13:24:18.312194
7 12 13:24:18.832085
7 13 13:24:19.352172
7 14 13:24:19.862645
7 15 13:24:20.381203
7 16 13:24:20.889415
7 17 13:24:21.408914
7 18 13:24:21.922822
7 19 13:24:22.443388
7 20 13:24:22.963783
7 21 13:24:23.483951
7 22 13:24:24.003773
7 23 13:24:24.524658
7 24 13:24:25.042967
7 25 13:24:25.562858
7 26 13:24:26.069301
7 27 13:24:26.589510
7 28 13:24:27.108472
7 29 13:24:27.617179
7 30 13:24:28.136747
7 31 13:24:28.650086
7 32 13:24:29.169444
7 33 13:24:29.689619
7 34 13:24:30.209362
7 35 13:24:30.729428
7 36 13:24:31.248047
7 37 13:24:31.766898
7 38 13:24:32.286427
7 39 13:24:32.805712
7 40 13:24:33.322649
7 41 13:24:33.840748
7 42 13:24:34.348435
7 43 13:24:34.866535
7 44 13:24:35.389487
7 45 13:24:35.908799
7 46 13:24:36.428389
7 47 13:24:36.948174
7 48 13:24:37.467591
7 49 13:24:37.986897
7 50 13:24:38.507225
7 51 13:24:39.027773
7 52 13:24:39.547800
7 53 13:24:40.067438
7 54 13:24:40.588446
7 55 13:24:41.108225
7 56 13:24:41.629164
7 57 13:24:42.140891
7 58 13:24:42.660576
7 59 13:24:43.180250
7 60 13:24:43.699919
7 61 13:24:44.219692
7 62 13:24:44.738652
7 63 13:24:45.258341
7 64 13:24:45.780188
7 65 13:24:46.299942
7 66 13:24:46.819007
7 67 13:24:47.338242
7 68 13:24:47.856799
7 69 13:24:48.376485
7 70 13:24:48.893777
7 71 13:24:49.412087
7 72 13:24:49.933964
7 73 13:24:50.453834
7 74 13:24:50.971959
7 75 13:24:51.489432
7 76 13:24:52.008872
7 77 13:24:52.529133
7 78 13:24:53.048917
7 79 13:24:53.568205
7 80 13:24:54.087863
7 81 13:24:54.600401
7 82 13:24:55.120495
7 83 13:24:55.639493
7 84 13:24:56.158031
7 85 13:24:56.677583
7 86 13:24:57.196577
7 87 13:24:57.714856
7 88 13:24:58.237266
7 89 13:24:58.755395
7 90 13:24:59.274521
7 91 13:24:59.793308
7 92 13:25:00.312552
7 93 13:25:00.830980
7 94 13:25:01.342641
7 95 13:25:01.851326
7 96 13:25:02.360010
7 97 13:25:02.866697
7 98 13:25:03.373387
7 99 13:25:03.881071
8 0 13:25:05.223246
8 1 13:25:05.730933
8 2 13:25:06.237622
8 3 13:25:06.745307
8 4 13:25:07.252992
8 5 13:25:07.763679
8 6 13:25:08.270367
8 7 13:25:08.777052
8 8 13:25:09.284739
8 9 13:25:09.792426
8 10 13:25:10.299113
8 11 13:25:10.806800
8 12 13:25:11.313488
8 13 13:25:11.820177
8 14 13:25:12.329863
8 15 13:25:12.837548
8 16 13:25:13.344235
8 17 13:25:13.850923
8 18 13:25:14.357610
8 19 13:25:14.865300
8 20 13:25:15.372987
8 21 13:25:15.880671
8 22 13:25:16.387360
8 23 13:25:16.897048
8 24 13:25:17.404733
8 25 13:25:17.911421
8 26 13:25:18.421104
8 27 13:25:18.927791
8 28 13:25:19.434479
8 29 13:25:19.941167
8 30 13:25:20.447856
8 31 13:25:20.956542
8 32 13:25:21.465229
8 33 13:25:21.974915
8 34 13:25:22.482601
8 35 13:25:22.989289
8 36 13:25:23.495977
8 37 13:25:24.002664
8 38 13:25:24.512347
8 39 13:25:25.020034
8 40 13:25:25.526722
8 41 13:25:26.034411
8 42 13:25:26.544096
8 43 13:25:27.051782
8 44 13:25:27.558471
8 45 13:25:28.065159
8 46 13:25:28.573844
8 47 13:25:29.081531
8 48 13:25:29.588219
8 49 13:25:30.094904
8 50 13:25:30.601592
8 51 13:25:31.108281
8 52 13:25:31.615968
8 53 13:25:32.122656
8 54 13:25:32.633341
8 55 13:25:33.140028
8 56 13:25:33.649714
8 57 13:25:34.159400
8 58 13:25:34.666087
8 59 13:25:35.173774
8 60 13:25:35.683460
8 61 13:25:36.191145
8 62 13:25:36.698831
8 63 13:25:37.205521
8 64 13:25:37.712208
8 65 13:25:38.218894
8 66 13:25:38.725581
8 67 13:25:39.233269
8 68 13:25:39.743956
8 69 13:25:40.250643
8 70 13:25:40.758330
8 71 13:25:41.265018
8 72 13:25:41.771703
8 73 13:25:42.278390
8 74 13:25:42.786079
8 75 13:25:43.295765
8 76 13:25:43.805451
8 77 13:25:44.312138
8 78 13:25:44.818824
8 79 13:25:45.325511
8 80 13:25:45.832201
8 81 13:25:46.338888
8 82 13:25:46.845574
8 83 13:25:47.353261
8 84 13:25:47.860949
8 85 13:25:48.368636
8 86 13:25:48.875322
8 87 13:25:49.385010
8 88 13:25:49.892696
8 89 13:25:50.399384
8 90 13:25:50.907070
8 91 13:25:51.415618
8 92 13:25:51.935032
8 93 13:25:52.457908
8 94 13:25:52.977103
8 95 13:25:53.496744
8 96 13:25:54.017559
8 97 13:25:54.536319
8 98 13:25:55.055469
8 99 13:25:55.564289
9 0 13:25:56.894672
9 1 13:25:57.414839
9 2 13:25:57.934466
9 3 13:25:58.454603
9 4 13:25:58.974444
9 5 13:25:59.492848
9 6 13:26:00.012316
9 7 13:26:00.529458
9 8 13:26:01.049333
9 9 13:26:01.556020
9 10 13:26:02.065705
9 11 13:26:02.571986
9 12 13:26:03.092118
9 13 13:26:03.605674
9 14 13:26:04.125552
9 15 13:26:04.645720
9 16 13:26:05.156620
9 17 13:26:05.677087
9 18 13:26:06.195820
9 19 13:26:06.715334
9 20 13:26:07.235316
9 21 13:26:07.754962
9 22 13:26:08.272521
9 23 13:26:08.792286
9 24 13:26:09.311569
9 25 13:26:09.830482
9 26 13:26:10.352299
9 27 13:26:10.871842
9 28 13:26:11.391217
9 29 13:26:11.910585
9 30 13:26:12.430688
9 31 13:26:12.949170
9 32 13:26:13.466655
9 33 13:26:13.985803
9 34 13:26:14.505476
9 35 13:26:15.023139
9 36 13:26:15.542436
9 37 13:26:16.061579
9 38 13:26:16.582354
9 39 13:26:17.093353
9 40 13:26:17.613690
9 41 13:26:18.134815
9 42 13:26:18.654481
9 43 13:26:19.173073
9 44 13:26:19.691729
9 45 13:26:20.211078
9 46 13:26:20.729934
9 47 13:26:21.249212
9 48 13:26:21.770027
9 49 13:26:22.288604
9 50 13:26:22.795317
9 51 13:26:23.314396
9 52 13:26:23.836110
9 53 13:26:24.355386
9 54 13:26:24.874632
9 55 13:26:25.393853
9 56 13:26:25.914791
9 57 13:26:26.434727
9 58 13:26:26.953234
9 59 13:26:27.472902
9 60 13:26:27.993076
9 61 13:26:28.510482
9 62 13:26:29.029481
9 63 13:26:29.545094
9 64 13:26:30.064671
9 65 13:26:30.591344
9 66 13:26:31.111264
9 67 13:26:31.631235
9 68 13:26:32.151660
9 69 13:26:32.671694
9 70 13:26:33.191032
9 71 13:26:33.709719
9 72 13:26:34.229689
9 73 13:26:34.749674
9 74 13:26:35.268415
9 75 13:26:35.787662
9 76 13:26:36.307506
9 77 13:26:36.827498
9 78 13:26:37.347693
9 79 13:26:37.868365
9 80 13:26:38.387139
9 81 13:26:38.906719
9 82 13:26:39.426465
9 83 13:26:39.946233
9 84 13:26:40.467458
9 85 13:26:40.989869
9 86 13:26:41.510373
9 87 13:26:42.031251
9 88 13:26:42.551823
9 89 13:26:43.060821
9 90 13:26:43.584538
9 91 13:26:44.091313
9 92 13:26:44.610836
9 93 13:26:45.136627
9 94 13:26:45.656922
9 95 13:26:46.176829
9 96 13:26:46.696456
9 97 13:26:47.216723
9 98 13:26:47.737673
9 99 13:26:48.257788
10 0 13:26:49.598046
10 1 13:26:50.109641
10 2 13:26:50.629108
10 3 13:26:51.137314
10 4 13:26:51.657632
10 5 13:26:52.176872
10 6 13:26:52.696409
10 7 13:26:53.202878
10 8 13:26:53.723688
10 9 13:26:54.238010
10 10 13:26:54.756789
10 11 13:26:55.268397
10 12 13:26:55.788552
10 13 13:26:56.301484
10 14 13:26:56.820751
10 15 13:26:57.341913
10 16 13:26:57.864183
10 17 13:26:58.383301
10 18 13:26:58.904249
10 19 13:26:59.412543
10 20 13:26:59.931370
10 21 13:27:00.451257
10 22 13:27:00.957756
10 23 13:27:01.470439
10 24 13:27:01.980127
10 25 13:27:02.487813
10 26 13:27:02.994501
10 27 13:27:03.501186
10 28 13:27:04.008875
10 29 13:27:04.516560
10 30 13:27:05.024248
10 31 13:27:05.530934
10 32 13:27:06.037624
10 33 13:27:06.544312
10 34 13:27:07.051999
10 35 13:27:07.558686
10 36 13:27:08.065374
10 37 13:27:08.574060
10 38 13:27:09.081745
10 39 13:27:09.589433
10 40 13:27:10.097120
10 41 13:27:10.604808
10 42 13:27:11.112492
10 43 13:27:11.620181
10 44 13:27:12.126869
10 45 13:27:12.637554
10 46 13:27:13.144239
10 47 13:27:13.652929
10 48 13:27:14.162613
10 49 13:27:14.671300
10 50 13:27:15.177987
10 51 13:27:15.684673
10 52 13:27:16.192360
10 53 13:27:16.703046
10 54 13:27:17.211733
10 55 13:27:17.718421
10 56 13:27:18.225108
10 57 13:27:18.731795
10 58 13:27:19.239482
10 59 13:27:19.746170
10 60 13:27:20.255855
10 61 13:27:20.765541
10 62 13:27:21.272228
10 63 13:27:21.778917
10 64 13:27:22.288602
10 65 13:27:22.798287
